Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
Riau,2011,535788.00,145242.00,2405.00,74.50,27.00
Riau,2012,512152.00,144015.00,2636.00,76.10,27.30
Riau,2013,434144.00,118518.00,2628.00,76.00,26.00
Riau,2014,385475.00,106037.00,2343.00,78.10,27.20
Riau,2015,393917.00,107546.00,2048.30,80.50,27.20
Riau,2016,325826.00,72151.00,2105.60,83.72,27.00
Riau,2017,337421.00,70016.00,2982.90,84.76,26.70
Riau,2018,266375.53,71448.08,1837.10,71.22,25.00
Riau,2019,230873.97,63142.04,1608.30,83.77,26.91
Riau,2020,269344.05,64733.13,2584.90,81.80,25.93
Jambi,1993,607529.00,199431.00,1954.00,83.81,26.29
Jambi,1994,564722.00,184029.00,1824.00,81.25,25.51
Jambi,1995,593502.00,193666.00,2290.10,83.96,26.22
Jambi,1996,657650.00,215975.00,2309.10,83.60,26.00
Jambi,1997,572269.00,190608.00,1030.10,80.64,26.50
Jambi,1998,550277.00,178766.00,2383.80,83.47,26.78
Jambi,1999,553641.00,178307.00,2429.30,83.25,26.34
Jambi,2000,536779.00,171395.00,840.30,84.85,27.76
Jambi,2001,556564.00,164826.00,2515.20,72.40,28.12
Jambi,2002,561007.00,165729.00,2044.50,70.77,28.82
Jambi,2003,578346.00,159463.00,2508.10,71.28,29.39
Jambi,2004,579404.00,156803.00,2561.00,82.74,28.95
Jambi,2005,579635.00,154941.00,1015.70,84.80,26.80
Jambi,2006,544597.00,140613.00,424.70,85.00,26.77
Jambi,2007,58663.00,149888.00,2394.00,86.00,26.60
Jambi,2008,581704.00,143034.00,2230.00,83.70,26.50
Jambi,2009,644947.00,155802.00,2299.00,83.80,27.10
Jambi,2010,628828.00,153897.00,3207.00,84.60,27.10
Jambi,2011,646641.00,157441.00,2295.00,82.50,26.90
Jambi,2012,625164.00,149369.00,1874.00,81.40,26.70
Jambi,2013,664535.00,153243.00,2093.00,83.42,26.80
Jambi,2014,664720.00,145990.00,1781.00,82.80,27.20
Jambi,2015,541486.00,122214.00,1694.90,82.10,27.00
Jambi,2016,642095.00,96588.00,1502.40,83.84,26.84
Jambi,2017,678127.00,97690.00,2193.20,83.69,26.62
Jambi,2018,383045.74,86202.68,2182.30,82.23,26.62
Jambi,2019,309932.68,69536.06,1773.40,81.44,26.94
Jambi,2020,374376.27,84772.93,2303.80,78.24,25.85
Sumatera Selatan,1993,1409559.00,439895.00,2815.00,82.78,26.38
Sumatera Selatan,1994,1347611.00,422109.00,1800.00,79.89,26.53
Sumatera Selatan,1995,1557944.00,492448.00,2800.00,82.71,26.54
Sumatera Selatan,1996,1666591.00,495958.00,2614.00,82.45,26.34
Sumatera Selatan,1997,1577398.00,469670.00,1558.30,78.47,26.75
Sumatera Selatan,1998,1931505.00,621829.00,2539.30,82.58,26.19
Sumatera Selatan,1999,1789961.00,530692.00,2704.70,81.01,25.67
Sumatera Selatan,2000,1863643.00,555427.00,2632.50,83.26,25.32
Sumatera Selatan,2001,1723433.00,511928.00,2837.50,72.06,28.83
Sumatera Selatan,2002,1899849.00,561724.00,2368.20,70.36,28.23
Sumatera Selatan,2003,1977345.00,570010.00,2674.00,69.59,29.64
Sumatera Selatan,2004,2260794.00,625013.00,2182.60,80.96,28.70
Sumatera Selatan,2005,2320110.00,626849.00,1356.90,82.50,27.10
Sumatera Selatan,2006,2456251.00,646927.00,1442.00,80.00,27.10
Sumatera Selatan,2007,2753044.00,691467.00,2364.70,83.50,27.00
Sumatera Selatan,2008,2971286.00,718797.00,2685.70,84.80,26.90
Sumatera Selatan,2009,3125236.00,746465.00,2389.00,82.30,27.40
Sumatera Selatan,2010,3272451.00,769478.00,3396.00,85.25,27.08
Sumatera Selatan,2011,3384670.00,784820.00,2593.00,84.80,27.30
Sumatera Selatan,2012,3295247.00,769725.00,3083.00,83.00,27.40
Sumatera Selatan,2013,3676723.00,800036.00,3409.00,84.00,27.30
Sumatera Selatan,2014,3670435.00,810900.00,1668.30,81.00,26.00
Sumatera Selatan,2015,4247922.00,872737.00,1947.20,79.50,27.70
Sumatera Selatan,2016,4881089.00,615184.00,3477.90,82.22,27.31
Sumatera Selatan,2017,4807430.00,621903.00,2489.50,81.08,26.75
Sumatera Selatan,2018,2994191.84,581574.61,2252.40,77.66,27.00
Sumatera Selatan,2019,2603396.24,539316.52,1655.50,85.13,27.60
Sumatera Selatan,2020,2696877.46,551320.76,2300.20,81.10,26.14
Bengkulu,1993,356709.00,109807.00,4150.00,85.50,25.95
Bengkulu,1994,334232.00,104747.00,2043.00,85.32,25.68
Bengkulu,1995,377337.00,115914.00,4478.00,85.49,26.12
Bengkulu,1996,396977.00,121929.00,3931.00,85.96,25.66
Bengkulu,1997,382123.00,113915.00,1167.00,84.00,25.84
Bengkulu,1998,375533.00,111158.00,4114.00,85.34,26.40
Bengkulu,1999,381577.00,114788.00,3084.00,84.72,25.81
Bengkulu,2000,362979.00,108751.00,3254.00,84.73,24.22
Bengkulu,2001,376973.00,105212.00,3010.00,70.15,26.80
Bengkulu,2002,379818.00,109519.00,3076.00,67.98,28.50
Bengkulu,2003,413375.00,110550.00,3030.00,70.30,29.50
Bengkulu,2004,414741.00,110929.00,3277.00,84.28,29.70
Bengkulu,2005,441276.00,116818.00,3375.20,84.70,25.70
Bengkulu,2006,378377.00,100991.00,2313.80,83.30,26.10
Bengkulu,2007,470469.00,123853.00,3150.00,84.20,26.40
Bengkulu,2008,484900.00,127506.00,3396.00,84.20,26.30
Bengkulu,2009,510160.00,132975.00,3850.00,84.10,26.50
Bengkulu,2010,516869.00,133629.00,3822.00,84.00,26.80
Bengkulu,2011,502552.00,127934.00,2465.70,82.52,26.35
Bengkulu,2012,581910.00,144448.00,2545.00,82.00,26.90
Bengkulu,2013,622832.00,147680.00,3980.90,83.93,26.70
Bengkulu,2014,593194.00,147572.00,3323.00,83.70,26.90
Bengkulu,2015,578654.00,128833.00,2668.90,83.20,27.00
Bengkulu,2016,629224.00,83449.00,3350.10,83.38,26.77
Bengkulu,2017,714017.00,82429.00,3949.80,84.20,26.52
Bengkulu,2018,288810.52,65891.16,3649.90,83.79,26.64
Bengkulu,2019,296472.07,64406.86,1786.20,83.26,26.56
Bengkulu,2020,296925.16,64137.28,4144.00,80.18,25.84
Lampung,1993,1646900.00,433078.00,2306.70,84.82,26.41
Lampung,1994,1615751.00,425940.00,2034.20,77.51,25.73
Lampung,1995,1943709.00,514363.00,3039.40,82.81,26.43
Lampung,1996,1971740.00,515192.00,1934.90,82.61,26.27
Lampung,1997,1753656.00,454087.00,1253.30,78.46,26.68
Lampung,1998,1975700.00,521575.00,2584.90,84.07,26.95
Lampung,1999,1801422.00,476899.00,2364.70,83.46,26.24
Lampung,2000,1946406.00,496879.00,1488.50,82.86,28.20
Lampung,2001,1992726.00,501119.00,2013.10,77.83,26.71
Lampung,2002,1951109.00,475461.00,2143.50,75.84,27.50
Lampung,2003,1966293.00,472635.00,1682.20,68.71,29.67
Lampung,2004,2091996.00,495519.00,2042.90,81.47,29.66
Lampung,2005,2124144.00,496538.00,1612.80,79.60,26.59
Lampung,2006,2129914.00,494102.00,560.30,74.60,26.18
Lampung,2007,2308404.00,524955.00,1941.40,75.90,27.60
Lampung,2008,2341075.00,506547.00,1940.10,79.00,26.40
Lampung,2009,2673844.00,570417.00,1789.00,79.10,26.70
Lampung,2010,2807676.00,590608.00,2710.00,82.30,26.70
Lampung,2011,2940795.00,606973.00,1568.00,77.80,26.80
Lampung,2012,3101455.00,641876.00,1685.00,79.20,26.80
Lampung,2013,3207002.00,638090.00,2456.70,81.00,26.70
Lampung,2014,3320064.00,648731.00,1682.50,79.90,25.80
Lampung,2015,3641895.00,707266.00,1628.10,78.90,27.10
Lampung,2016,3831923.00,390799.00,2317.60,79.40,26.45
Lampung,2017,4090654.00,396559.00,1825.10,77.04,26.36
Lampung,2018,2488641.91,511940.93,1385.80,76.05,25.50
Lampung,2019,2164089.33,464103.42,1706.40,78.03,27.23
Lampung,2020,2604913.29,545149.05,2211.30,75.80,24.58
